20170710 00:00:00,290087,290470,290000,290450
20170710 00:15:00,290460,291050,290412,291050
20170710 00:30:00,291050,291052,290565,290948
20170710 00:45:00,290948,291399,290609,290718
20170710 01:00:00,290718,291090,290464,290889
20170710 01:15:00,290924,291300,290681,291204
20170710 01:30:00,291202,291503,290760,291399
20170710 01:45:00,291344,291380,290710,290818
20170710 02:00:00,290959,291150,290491,291142
20170710 02:15:00,290699,291299,290560,291189
20170710 02:30:00,291217,291338,290760,291287
20170710 02:45:00,291309,291338,290860,290919
20170710 03:00:00,291102,291438,290650,291124
20170710 03:15:00,291150,291500,290936,290990
20170710 03:30:00,290991,291304,290090,290112
20170710 03:45:00,290113,290269,289700,289738
20170710 04:00:00,289740,290010,289380,289940
20170710 04:15:00,289940,290009,289830,289928
20170710 04:30:00,289978,290269,289531,290247
20170710 04:45:00,290246,290430,289921,290104
20170710 05:00:00,290068,290850,290000,290764
20170710 05:15:00,290814,290915,290215,290488
20170710 05:30:00,290511,290538,290100,290502
20170710 05:45:00,290504,290690,290208,290677
20170710 06:00:00,290727,290727,290000,290449
20170710 06:15:00,290448,290470,289900,289900
20170710 06:30:00,290030,290260,289800,289909
20170710 06:45:00,289909,291000,289731,290759
20170710 07:00:00,290750,291080,290620,290917
20170710 07:15:00,290651,290833,290150,290277
20170710 07:30:00,290277,290449,289900,290020
20170710 07:45:00,290020,290150,289100,289579
20170710 08:00:00,289550,289789,289000,289500
20170710 08:15:00,289484,289703,289010,289411
20170710 08:30:00,289590,289616,289010,289329
20170710 08:45:00,289329,289330,288608,288999
20170710 09:00:00,288999,289050,288500,288855
20170710 09:15:00,288855,289368,288855,289050
20170710 09:30:00,289050,289286,288502,288880
20170710 09:45:00,288880,289049,287041,287898
20170710 10:00:00,287660,287815,287041,287862
20170710 10:15:00,287862,288600,287862,288600
20170710 10:30:00,288600,288679,288020,288125
20170710 10:45:00,288125,288780,288023,288780
20170710 11:00:00,288783,288943,288307,288939
20170710 11:15:00,288939,289150,288240,288999
20170710 11:30:00,288999,289459,288999,289000
20170710 11:45:00,289000,289190,288760,288856
20170710 12:00:00,289028,289249,288664,289000
20170710 12:15:00,288829,289200,288793,289189
20170710 12:30:00,289189,289539,289128,289379
20170710 12:45:00,289379,289750,289147,289546
20170710 13:00:00,289544,289544,288830,288909
20170710 13:15:00,288959,288959,288500,288605
20170710 13:30:00,288617,288859,288341,288740
20170710 13:45:00,288739,289200,288678,289005
20170710 14:00:00,289060,289350,288881,288924
20170710 14:15:00,289111,289222,288883,289010
20170710 14:30:00,288926,288999,287800,288115
20170710 14:45:00,288166,288630,287821,288351
20170710 15:00:00,288334,288598,288140,288191
20170710 15:15:00,288150,288800,287991,288629
20170710 15:30:00,288629,288800,288360,288493
20170710 15:45:00,288492,288924,288431,288652
20170710 16:00:00,288651,288800,288552,288907
20170710 16:15:00,288908,289290,288800,288901
20170710 16:30:00,288901,289000,288552,289024
20170710 16:45:00,289064,289454,288724,289358
20170710 17:00:00,289358,289590,289031,289351
20170710 17:15:00,289351,289351,289031,289350
20170710 17:30:00,289350,289350,289041,289153
20170710 17:45:00,289152,289320,288954,289031
20170710 18:00:00,289132,289160,288850,289099
20170710 18:15:00,288911,289169,288860,289102
20170710 18:30:00,289101,289169,288601,288766
20170710 18:45:00,288766,288950,288570,288898
20170710 19:00:00,288899,288900,288370,288568
20170710 19:15:00,288460,288778,288320,288555
20170710 19:30:00,288590,288600,288280,288281
20170710 19:45:00,288281,288450,288241,288450
20170710 20:00:00,288450,288750,288352,288580
20170710 20:15:00,288570,288700,288544,288550
20170710 20:30:00,288550,288620,288010,288011
20170710 20:45:00,288011,288380,287978,288050
20170710 21:00:00,288050,288050,286721,287300
20170710 21:15:00,287330,287689,287001,287245
20170710 21:30:00,287244,287255,285700,286026
20170710 21:45:00,286265,286900,285960,286157
20170710 22:00:00,286133,286541,285400,285562
20170710 22:15:00,285562,287109,285562,286600
20170710 22:30:00,286810,287051,286380,286650
20170710 22:45:00,286650,287109,285500,285500
20170710 23:00:00,285500,285999,283496,284293
20170710 23:15:00,284235,284379,281700,281715
20170710 23:30:00,281700,282187,279827,282166
20170710 23:45:00,282170,282290,276264,276750
20170711 00:00:00,276750,279733,276274,279470
20170711 00:15:00,279470,281235,278207,279490
20170711 00:30:00,279509,280782,277686,278420
20170711 00:45:00,278437,281050,276381,278137
20170711 01:00:00,278137,278248,275484,277535
20170711 01:15:00,277237,279689,277190,278987
20170711 01:30:00,279087,281330,278543,279740
20170711 01:45:00,279842,282000,279620,281990
20170711 02:00:00,281900,282695,279991,280663
20170711 02:15:00,280661,280810,279330,280001
20170711 02:30:00,280001,281420,280000,280830
20170711 02:45:00,280830,281510,280333,280462
20170711 03:00:00,280404,280719,279624,279949
20170711 03:15:00,279990,280048,278417,278272
20170711 03:30:00,278518,278766,276920,278293
20170711 03:45:00,278500,278500,277871,278189
20170711 04:00:00,278189,279120,278189,279299
20170711 04:15:00,279299,280188,279117,280000
20170711 04:30:00,280007,280341,279480,279481
20170711 04:45:00,279480,279642,279000,279360
20170711 05:00:00,279361,279980,279300,279665
20170711 05:15:00,279655,279729,279130,279121
20170711 05:30:00,279100,279130,277210,277680
20170711 05:45:00,277609,278216,277476,277916
20170711 06:00:00,277916,278530,277500,278001
20170711 06:15:00,278049,278240,275000,275740
20170711 06:30:00,275740,275866,275000,275793
20170711 06:45:00,275816,275980,273001,274955
20170711 07:00:00,274622,275139,273205,274150
20170711 07:15:00,274010,276090,273408,274000
20170711 07:30:00,274000,275998,274000,274660
20170711 07:45:00,274660,274835,271500,271887
20170711 08:00:00,271790,273033,271000,273028
20170711 08:15:00,272842,273810,270000,270761
20170711 08:30:00,270775,270800,267370,268482
20170711 08:45:00,268482,272739,268482,271560
20170711 09:00:00,271598,274500,271450,273751
20170711 09:15:00,273751,277051,273000,277051
20170711 09:30:00,276978,277850,275779,277850
20170711 09:45:00,277778,277930,274200,275276
20170711 10:00:00,275276,276200,275000,275198
20170711 10:15:00,275148,275730,275103,275270
20170711 10:30:00,275364,275400,272980,274000
20170711 10:45:00,274000,275000,273800,274790
20170711 11:00:00,274801,274999,274372,274372
20170711 11:15:00,274372,274373,273240,273539
20170711 11:30:00,273539,273588,272390,272939
20170711 11:45:00,272939,273250,270899,271118
20170711 12:00:00,271000,271771,269000,271603
20170711 12:15:00,271602,272537,270500,270503
20170711 12:30:00,270504,271000,269354,269820
20170711 12:45:00,269820,271000,269800,269918
20170711 13:00:00,269918,270299,269000,270303
20170711 13:15:00,270289,270459,268300,268348
20170711 13:30:00,268307,268920,267919,268900
20170711 13:45:00,268900,269500,267893,268100
20170711 14:00:00,268100,269000,268011,268900
20170711 14:15:00,268899,271239,268899,270791
20170711 14:30:00,270791,273004,270638,272891
20170711 14:45:00,272700,273149,270800,271510
20170711 15:00:00,271510,271690,270180,270590
20170711 15:15:00,270590,270710,268500,268800
20170711 15:30:00,268789,269999,268341,269235
20170711 15:45:00,269285,270440,268625,270211
20170711 16:00:00,270211,270300,268800,269501
20170711 16:15:00,269501,271550,269500,270800
20170711 16:30:00,270800,271490,270500,271013
20170711 16:45:00,271013,272400,270870,272395
20170711 17:00:00,272300,274330,272201,273879
